0,0 1 2 3 4 5 6 7 8 9 10 11 
24,6 5 7 4 9 0 2 11 10 8 1 3 
48,6 4 5 7 0 2 11 9 10 8 1 3 
72,6 5 4 7 9 11 0 10 8 2 1 3 
96,6 4 5 7 11 9 2 10 0 8 1 3 
120,6 4 5 7 9 10 11 8 0 2 1 3 
144,6 4 5 7 11 10 9 8 2 0 1 3 
168,6 4 5 7 8 11 10 9 0 2 1 3 
192,6 4 5 7 10 11 8 9 2 0 1 3 
216,6 4 5 7 11 10 8 9 0 1 2 3 
240,6 5 4 7 10 11 8 9 0 1 2 3 
264,6 4 5 10 7 11 8 9 2 0 1 3 
288,6 4 5 10 7 8 11 9 0 1 2 3 
312,6 4 5 7 10 11 8 9 0 1 2 3 
336,6 4 5 10 7 8 11 9 0 1 2 3 
360,6 4 10 5 7 11 9 8 0 1 2 3 
384,6 4 5 10 7 11 8 9 0 1 2 3 
408,6 4 5 10 7 11 9 8 0 1 2 3 
432,6 4 5 10 11 7 9 8 0 1 2 3 
456,6 4 10 5 7 11 9 8 0 1 2 3 
480,6 4 10 5 7 11 8 9 0 1 2 3 
504,6 4 10 5 11 7 8 9 0 1 2 3 
528,6 10 4 11 5 7 9 8 0 1 2 3 
552,6 10 4 11 5 8 7 9 0 1 2 3 
576,6 10 4 5 11 7 8 9 0 1 2 3 
600,6 10 4 11 5 7 8 0 9 1 2 3 
624,6 10 11 5 4 7 8 9 0 1 2 3 
648,6 10 11 4 5 7 8 9 0 1 2 3 
672,6 10 11 4 7 8 5 9 0 1 2 3 
696,6 11 10 4 8 5 7 9 0 1 2 3 
720,6 11 10 4 8 5 7 9 0 1 2 3 
744,6 11 10 4 5 8 7 9 0 1 2 3 
768,6 11 10 4 5 8 7 9 0 1 2 3 
792,6 11 10 4 7 8 5 9 0 1 2 3 
816,6 11 10 4 5 7 8 9 0 1 2 3 
840,6 11 4 10 7 8 9 5 0 1 2 3 
